race,circuit,driver,grid,actual_stops,actual_comp,actual_pits,p1_stops,p1_comp,p1_pits,set1,ord1,stop1,set_topk,ord_topk,in_short,pit_err_first,pit_err_all
2026R1,Melbourne,LEC,4,1,MEDIUM-HARD,[25],1,MEDIUM-HARD,[9],1,1,1,1,1,1,16,[16]
2026R1,Melbourne,NOR,6,2,MEDIUM-HARD-MEDIUM,"[11, 34]",1,MEDIUM-HARD,[9],0,0,0,1,1,1,,
2026R1,Melbourne,HAM,7,1,MEDIUM-HARD,[28],1,MEDIUM-HARD,[9],1,1,1,1,1,1,19,[19]
2026R1,Melbourne,LAW,8,2,MEDIUM-HARD-SOFT,"[11, 33]",1,MEDIUM-HARD,[9],0,0,0,1,0,1,,
2026R1,Melbourne,LIN,9,1,MEDIUM-HARD,[18],1,MEDIUM-HARD,[9],1,1,1,1,1,1,9,[9]
2026R1,Melbourne,BOR,10,2,MEDIUM-HARD-HARD,"[18, 33]",1,MEDIUM-HARD,[9],0,0,0,1,1,1,,
2026R1,Melbourne,BEA,12,1,MEDIUM-HARD,[18],1,MEDIUM-HARD,[9],1,1,1,1,1,1,9,[9]
2026R1,Melbourne,OCO,13,1,MEDIUM-HARD,[11],1,MEDIUM-HARD,[9],1,1,1,1,1,1,2,[2]
2026R1,Melbourne,GAS,14,1,MEDIUM-HARD,[11],1,MEDIUM-HARD,[9],1,1,1,1,1,1,2,[2]
2026R1,Melbourne,ALB,15,2,MEDIUM-HARD-SOFT,"[12, 33]",1,MEDIUM-HARD,[9],0,0,0,1,0,1,,
2026R1,Melbourne,COL,16,2,HARD-HARD-SOFT,"[9, 46]",1,MEDIUM-HARD,[9],0,0,0,0,0,1,,
2026R1,Melbourne,PER,18,2,MEDIUM-HARD-SOFT,"[18, 43]",1,MEDIUM-HARD,[9],0,0,0,1,0,1,,
2026R1,Melbourne,VER,20,2,HARD-MEDIUM-HARD,"[18, 41]",1,MEDIUM-HARD,[9],0,0,0,1,0,1,,
2026R1,Melbourne,SAI,21,3,SOFT-HARD-MEDIUM-SOFT,"[11, 33, 45]",1,MEDIUM-HARD,[9],0,0,0,0,0,1,,
2026R6,Monte Carlo,ANT,1,2,MEDIUM-HARD-SOFT,"[37, 61]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,1,1,1,1,31,"[31, 21]"
2026R6,Monte Carlo,HAM,3,2,MEDIUM-HARD-SOFT,"[28, 60]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,1,1,1,1,22,"[22, 20]"
2026R6,Monte Carlo,HAD,5,3,MEDIUM-HARD-HARD-SOFT,"[32, 60, 66]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,0,0,0,1,,
2026R6,Monte Carlo,RUS,6,2,MEDIUM-HARD-SOFT,"[31, 60]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,1,1,1,1,25,"[25, 20]"
2026R6,Monte Carlo,PIA,7,2,MEDIUM-HARD-SOFT,"[48, 59]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,1,1,1,1,42,"[42, 19]"
2026R6,Monte Carlo,GAS,9,3,MEDIUM-HARD-HARD-SOFT,"[45, 60, 66]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,0,0,0,1,,
2026R6,Monte Carlo,LAW,10,2,MEDIUM-SOFT-SOFT,"[44, 60]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,1,1,1,1,38,"[38, 20]"
2026R6,Monte Carlo,ALB,11,2,MEDIUM-SOFT-SOFT,"[43, 59]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,1,1,1,1,37,"[37, 19]"
2026R6,Monte Carlo,SAI,12,2,MEDIUM-SOFT-SOFT,"[52, 59]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,1,1,1,1,46,"[46, 19]"
2026R6,Monte Carlo,HUL,13,2,MEDIUM-HARD-SOFT,"[12, 65]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,1,1,1,1,6,"[6, 25]"
2026R6,Monte Carlo,COL,14,3,MEDIUM-HARD-HARD-SOFT,"[35, 59, 65]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,0,0,0,1,,
2026R6,Monte Carlo,LIN,15,2,MEDIUM-MEDIUM-SOFT,"[59, 65]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,1,1,1,1,53,"[53, 25]"
2026R6,Monte Carlo,BOR,16,2,HARD-MEDIUM-SOFT,"[43, 58]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,1,1,0,1,37,"[37, 18]"
2026R6,Monte Carlo,OCO,17,3,MEDIUM-HARD-HARD-SOFT,"[9, 59, 65]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,0,0,0,1,,
2026R6,Monte Carlo,PER,18,2,MEDIUM-MEDIUM-SOFT,"[9, 59]",2,MEDIUM-HARD-HARD,"[6, 40]",0,0,1,1,1,1,3,"[3, 19]"
2026R6,Monte Carlo,ALO,21,0,SOFT,[],2,MEDIUM-HARD-HARD,"[6, 40]",0,0,0,0,0,0,,
2026R3,Suzuka,ANT,1,1,MEDIUM-HARD,[22],1,MEDIUM-HARD,[21],1,1,1,1,1,1,1,[1]
2026R3,Suzuka,RUS,2,1,MEDIUM-HARD,[21],1,MEDIUM-HARD,[21],1,1,1,1,1,1,0,[0]
2026R3,Suzuka,PIA,3,1,MEDIUM-HARD,[18],1,MEDIUM-HARD,[21],1,1,1,1,1,1,3,[3]
2026R3,Suzuka,LEC,4,1,MEDIUM-HARD,[17],1,MEDIUM-HARD,[21],1,1,1,1,1,1,4,[4]
2026R3,Suzuka,NOR,5,1,MEDIUM-HARD,[16],1,MEDIUM-HARD,[21],1,1,1,1,1,1,5,[5]
2026R3,Suzuka,HAM,6,1,MEDIUM-HARD,[22],1,MEDIUM-HARD,[21],1,1,1,1,1,1,1,[1]
2026R3,Suzuka,GAS,7,1,MEDIUM-HARD,[22],1,MEDIUM-HARD,[21],1,1,1,1,1,1,1,[1]
2026R3,Suzuka,HAD,8,1,MEDIUM-HARD,[19],1,MEDIUM-HARD,[21],1,1,1,1,1,1,2,[2]
2026R3,Suzuka,BOR,9,1,MEDIUM-HARD,[22],1,MEDIUM-HARD,[21],1,1,1,1,1,1,1,[1]
2026R3,Suzuka,LIN,10,1,MEDIUM-HARD,[18],1,MEDIUM-HARD,[21],1,1,1,1,1,1,3,[3]
2026R3,Suzuka,VER,11,1,MEDIUM-HARD,[22],1,MEDIUM-HARD,[21],1,1,1,1,1,1,1,[1]
2026R3,Suzuka,OCO,12,1,MEDIUM-HARD,[19],1,MEDIUM-HARD,[21],1,1,1,1,1,1,2,[2]
2026R3,Suzuka,HUL,13,1,MEDIUM-HARD,[23],1,MEDIUM-HARD,[21],1,1,1,1,1,1,2,[2]
2026R3,Suzuka,LAW,14,1,MEDIUM-HARD,[22],1,MEDIUM-HARD,[21],1,1,1,1,1,1,1,[1]
2026R3,Suzuka,COL,15,1,MEDIUM-HARD,[17],1,MEDIUM-HARD,[21],1,1,1,1,1,1,4,[4]
2026R3,Suzuka,SAI,16,1,MEDIUM-HARD,[22],1,MEDIUM-HARD,[21],1,1,1,1,1,1,1,[1]
2026R3,Suzuka,ALB,17,1,MEDIUM-HARD,[22],1,MEDIUM-HARD,[21],1,1,1,1,1,1,1,[1]
2026R3,Suzuka,PER,19,1,MEDIUM-HARD,[21],1,MEDIUM-HARD,[21],1,1,1,1,1,1,0,[0]
2026R3,Suzuka,BOT,20,1,HARD-MEDIUM,[19],1,MEDIUM-HARD,[21],1,0,1,1,0,1,2,[2]
2026R3,Suzuka,ALO,21,0,MEDIUM,[],1,MEDIUM-HARD,[21],0,0,0,0,0,0,,
2026R7,Barcelona,RUS,1,2,MEDIUM-HARD-HARD,"[12, 36]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,1,0,0,1,6,"[6, 5]"
2026R7,Barcelona,HAM,2,3,SOFT-HARD-MEDIUM-HARD,"[11, 27, 41]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,0,0,0,1,,
2026R7,Barcelona,ANT,3,2,MEDIUM-HARD-HARD,"[14, 37]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,1,0,0,1,4,"[4, 4]"
2026R7,Barcelona,NOR,4,2,MEDIUM-HARD-HARD,"[13, 35]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,1,0,0,1,5,"[5, 6]"
2026R7,Barcelona,VER,5,3,SOFT-MEDIUM-HARD-MEDIUM,"[12, 29, 40]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,0,0,0,1,,
2026R7,Barcelona,HAD,6,3,MEDIUM-HARD-HARD-SOFT,"[15, 32, 58]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,0,0,0,1,,
2026R7,Barcelona,PIA,7,2,MEDIUM-HARD-HARD,"[14, 36]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,1,0,0,1,4,"[4, 5]"
2026R7,Barcelona,LAW,8,2,MEDIUM-HARD-HARD,"[11, 35]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,1,0,0,1,7,"[7, 6]"
2026R7,Barcelona,LEC,10,2,MEDIUM-HARD-HARD,"[16, 39]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,1,0,0,1,2,"[2, 2]"
2026R7,Barcelona,LIN,11,2,MEDIUM-HARD-HARD,"[22, 37]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,1,0,0,1,4,"[4, 4]"
2026R7,Barcelona,BOR,12,3,MEDIUM-HARD-HARD-SOFT,"[15, 33, 53]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,0,0,0,1,,
2026R7,Barcelona,COL,13,2,SOFT-HARD-HARD,"[12, 34]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,1,1,1,1,6,"[6, 7]"
2026R7,Barcelona,GAS,14,2,MEDIUM-HARD-HARD,"[14, 40]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,1,0,0,1,4,"[4, 1]"
2026R7,Barcelona,BEA,15,2,MEDIUM-HARD-SOFT,"[18, 39]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,1,1,1,1,0,"[0, 2]"
2026R7,Barcelona,SAI,16,3,SOFT-HARD-HARD-MEDIUM,"[14, 30, 55]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,0,0,0,1,,
2026R7,Barcelona,OCO,17,3,SOFT-HARD-MEDIUM-SOFT,"[13, 34, 58]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,0,0,0,1,,
2026R7,Barcelona,PER,19,3,SOFT-HARD-HARD-MEDIUM,"[12, 31, 39]",2,MEDIUM-SOFT-SOFT,"[18, 41]",0,0,0,0,0,1,,
2026R8,Spielberg,RUS,1,2,MEDIUM-HARD-HARD,"[19, 43]",1,MEDIUM-HARD,[27],0,0,0,1,1,1,,
2026R8,Spielberg,LEC,2,3,MEDIUM-HARD-HARD-SOFT,"[13, 37, 59]",1,MEDIUM-HARD,[27],0,0,0,0,0,1,,
2026R8,Spielberg,HAM,3,3,MEDIUM-HARD-SOFT-HARD,"[12, 25, 42]",1,MEDIUM-HARD,[27],0,0,0,0,0,1,,
2026R8,Spielberg,ANT,4,2,MEDIUM-HARD-HARD,"[24, 51]",1,MEDIUM-HARD,[27],0,0,0,1,1,1,,
2026R8,Spielberg,VER,5,2,MEDIUM-HARD-HARD,"[18, 49]",1,MEDIUM-HARD,[27],0,0,0,1,1,1,,
2026R8,Spielberg,NOR,6,2,MEDIUM-HARD-HARD,"[21, 47]",1,MEDIUM-HARD,[27],0,0,0,1,1,1,,
2026R8,Spielberg,PIA,7,2,MEDIUM-HARD-HARD,"[19, 42]",1,MEDIUM-HARD,[27],0,0,0,1,1,1,,
2026R8,Spielberg,HAD,8,2,MEDIUM-MEDIUM-HARD,"[18, 40]",1,MEDIUM-HARD,[27],0,0,0,1,0,1,,
2026R8,Spielberg,LAW,9,2,MEDIUM-HARD-MEDIUM,"[19, 45]",1,MEDIUM-HARD,[27],0,0,0,1,1,1,,
2026R8,Spielberg,LIN,10,2,MEDIUM-HARD-MEDIUM,"[18, 46]",1,MEDIUM-HARD,[27],0,0,0,1,1,1,,
2026R8,Spielberg,GAS,11,3,MEDIUM-HARD-MEDIUM-SOFT,"[13, 38, 51]",1,MEDIUM-HARD,[27],0,0,0,0,0,1,,
2026R8,Spielberg,BOR,12,2,SOFT-MEDIUM-HARD,"[17, 44]",1,MEDIUM-HARD,[27],0,0,0,1,0,1,,
2026R8,Spielberg,BEA,13,2,MEDIUM-HARD-MEDIUM,"[24, 45]",1,MEDIUM-HARD,[27],0,0,0,1,1,1,,
2026R8,Spielberg,HUL,14,2,MEDIUM-MEDIUM-HARD,"[21, 45]",1,MEDIUM-HARD,[27],0,0,0,1,0,1,,
2026R8,Spielberg,OCO,15,2,MEDIUM-MEDIUM-HARD,"[18, 33]",1,MEDIUM-HARD,[27],0,0,0,1,0,1,,
2026R8,Spielberg,COL,16,2,MEDIUM-HARD-MEDIUM,"[20, 46]",1,MEDIUM-HARD,[27],0,0,0,1,1,1,,
2026R8,Spielberg,ALB,18,2,MEDIUM-MEDIUM-HARD,"[18, 37]",1,MEDIUM-HARD,[27],0,0,0,1,0,1,,
2026R8,Spielberg,ALO,21,2,MEDIUM-SOFT-SOFT,"[24, 49]",1,MEDIUM-HARD,[27],0,0,0,0,0,1,,
